gene,Extracellular region,Plasma membrane,Cytoskeleton,Nucleus,Mitochondrion,Peroxisome,Endoplasmic reticulum,Endosome,Cytosol,Lysosome,Golgi apparatus
Fut8,2.0140000000000002,1.965,1.129,1.239,0.0,0.469,2.15,0.629,1.0090000000000001,0.972,4.08
Fut9,2.259,1.675,0.764,0.997,0.0,0.0,1.405,0.0,0.674,0.0,5.0
Fuz,1.16,2.509,3.492,0.7929999999999999,0.469,0.469,0.375,0.0,0.6559999999999999,0.0,0.32799999999999996
Fv1,1.3030000000000002,1.8940000000000001,1.328,2.305,1.724,0.0,0.976,1.074,2.193,1.084,5.0
Fxn,1.455,1.6269999999999998,1.722,2.2119999999999997,5.0,1.381,1.5130000000000001,1.288,4.46,1.4969999999999999,0.7809999999999999
Fxr1,1.263,1.3419999999999999,1.7,5.0,1.723,0.0,1.179,0.55,4.4430000000000005,0.0,0.797
Fxr2,0.961,1.139,1.479,4.215,0.759,0.0,0.713,0.0,4.454,0.0,0.0
Fxyd1,3.2,4.619,1.771,1.5830000000000002,1.585,0.0,1.891,0.975,1.626,0.862,0.767
Fxyd2,1.341,3.043,0.797,1.6,1.973,0.6559999999999999,1.147,0.0,2.293,0.605,0.0
Fxyd3,1.331,4.315,1.2690000000000001,1.068,0.889,0.0,5.0,0.53,0.797,0.0,0.0
Fxyd4,1.7309999999999999,4.56,0.0,0.768,0.0,0.0,0.8370000000000001,0.0,0.0,0.0,0.0
Fxyd5,1.6880000000000002,3.005,0.0,0.67,0.188,0.0,0.375,0.0,0.0,0.188,0.0
Fxyd6,2.8989999999999996,4.448,0.85,0.7979999999999999,0.76,0.0,0.0,0.0,0.0,0.0,0.0
Fxyd7,0.993,2.715,0.0,0.0,1.183,0.0,0.9790000000000001,0.0,1.386,0.0,0.0
Fyb,1.423,5.0,2.9739999999999998,4.254,0.81,0.0,0.8109999999999999,0.687,4.513999999999999,0.629,0.61
Fyb2,0.0,4.119,0.0,1.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fyco1,0.94,1.165,1.7009999999999998,2.3,1.327,1.0959999999999999,1.227,4.3660000000000005,3.469,4.3919999999999995,4.22
Fyn,2.5540000000000003,4.581,5.0,4.643,4.416,0.8959999999999999,4.428999999999999,5.0,4.762,1.9980000000000002,1.834
Fyttd1,0.0,0.0,0.6559999999999999,4.609,1.3119999999999998,0.6559999999999999,0.6559999999999999,0.0,1.25,0.0,0.0
Fzd1,1.901,4.7780000000000005,1.673,2.045,1.141,0.0,0.951,0.877,1.456,0.674,0.0
Fzd10,1.494,4.513999999999999,1.198,4.33,0.0,0.0,0.584,0.586,0.9840000000000001,0.0,0.0
Fzd2,1.98,4.793,1.861,2.07,0.991,0.0,1.13,1.061,1.475,0.737,0.617
Fzd3,1.8319999999999999,5.0,1.949,1.849,0.941,0.0,0.941,1.037,1.396,0.638,0.778
Fzd4,2.0140000000000002,4.788,1.857,2.0180000000000002,1.0659999999999998,0.0,1.077,1.1440000000000001,1.569,0.905,1.037
Fzd5,1.885,4.787,1.722,1.954,1.0,0.0,1.103,1.006,1.504,0.9440000000000001,4.118
Fzd6,1.7919999999999998,5.0,1.7919999999999998,1.807,0.753,0.0,5.0,1.207,1.287,0.578,0.868
Fzd7,2.011,5.0,1.881,2.0909999999999997,1.08,0.0,1.037,4.229,1.534,0.884,0.6809999999999999
Fzd8,4.388,5.0,1.7209999999999999,1.8330000000000002,0.909,0.0,1.2570000000000001,0.9640000000000001,1.393,0.804,5.0
Fzd9,1.79,5.0,1.817,1.868,4.178999999999999,0.0,4.152,0.862,1.245,0.535,4.0
Fzr1,0.878,0.938,1.649,4.553999999999999,0.8740000000000001,0.0,0.0,0.0,1.946,0.0,0.0
G0s2,2.2880000000000003,1.903,1.117,1.544,4.387,1.7819999999999998,1.4880000000000002,0.629,1.9569999999999999,0.897,0.946
G2e3,0.0,0.0,0.5660000000000001,3.844,0.0,0.0,0.0,0.0,4.387,0.0,4.0
G3bp1,1.3980000000000001,1.52,1.8659999999999999,4.149,1.493,0.659,1.662,1.518,4.697,1.2930000000000001,1.234
G3bp2,1.349,1.412,1.6869999999999998,2.739,1.456,0.0,1.4669999999999999,1.286,4.7010000000000005,1.031,1.074
G6b,3.283,4.468,0.6920000000000001,4.0,0.0,0.0,4.0,0.0,4.1819999999999995,0.0,4.0
G6pc,2.158,3.168,1.7009999999999998,2.502,2.504,2.169,5.0,1.055,2.3209999999999997,1.511,1.301
G6pc2,1.285,3.5439999999999996,1.053,1.432,1.185,0.0,5.0,0.505,1.402,0.638,0.0
