gene,Extracellular region,Plasma membrane,Cytoskeleton,Nucleus,Mitochondrion,Peroxisome,Endoplasmic reticulum,Endosome,Cytosol,Lysosome,Golgi apparatus
ENSP00000474632,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,0.0,0.519,0.0
ENSP00000474823,4.261,5.0,1.5830000000000002,1.4,1.05,1.016,1.272,5.0,4.333,2.025,1.399
ENSP00000475594,0.58,0.0,0.0,0.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000475686,0.0,0.575,0.584,0.7020000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000475702,0.65,0.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000476535,1.065,0.868,1.002,1.143,2.089,0.775,0.61,0.0,1.6159999999999999,0.63,0.812
ENSP00000476537,3.2119999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000477037,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000478035,0.0,0.0,0.0,4.175,5.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000478610,0.879,1.18,1.28,1.3430000000000002,0.825,0.0,0.629,0.0,0.8909999999999999,0.6,0.0
ENSP00000478683,0.892,3.364,1.1520000000000001,1.023,0.0,0.0,0.0,4.228,0.797,0.856,0.8290000000000001
ENSP00000478796,0.0,0.6779999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000478910,2.25,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.516,0.0,0.0
ENSP00000478933,1.5030000000000001,3.846,1.5719999999999998,1.2329999999999999,1.235,0.0,1.546,1.6880000000000002,1.629,1.584,1.486
ENSP00000479069,0.0,0.0,0.0,2.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000479139,0.23399999999999999,0.23399999999999999,0.0,1.031,0.375,0.0,0.375,0.0,1.359,0.0,0.0
ENSP00000479608,0.0,0.0,0.941,3.2569999999999997,0.0,0.0,0.0,0.0,0.9009999999999999,0.523,0.0
ENSP00000479921,0.505,0.0,1.141,1.4909999999999999,0.759,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000480012,2.6660000000000004,5.0,3.1289999999999996,2.156,2.07,0.574,1.643,1.228,1.9380000000000002,1.4069999999999998,4.248
ENSP00000480313,1.595,1.6480000000000001,2.262,1.781,3.5660000000000003,0.0,1.072,1.047,1.383,0.9540000000000001,1.207
ENSP00000480318,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000480348,5.0,1.676,1.474,1.8030000000000002,1.411,0.0,0.9179999999999999,0.718,1.6030000000000002,0.929,0.552
ENSP00000480609,2.7,5.0,2.029,2.312,1.725,0.633,1.9880000000000002,2.019,2.188,2.274,1.545
ENSP00000481258,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000481824,3.633,3.475,0.905,1.286,0.991,0.0,1.089,0.0,0.981,0.5720000000000001,0.779
ENSP00000482396,0.894,1.037,0.7490000000000001,1.248,1.079,0.0,4.367,0.58,1.4609999999999999,0.6829999999999999,1.295
ENSP00000482514,4.137,0.0,0.0,3.3139999999999996,0.7929999999999999,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000483239,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000483415,0.857,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000483965,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000485043,1.125,0.0,0.0,0.511,1.078,0.8440000000000001,0.0,0.0,0.0,0.0,0.0
ENSP00000485049,0.0,0.469,0.0,0.188,0.469,0.469,0.188,0.0,1.395,0.0,0.0
ENSP00000485105,0.909,1.062,0.647,0.0,0.0,0.0,0.0,0.0,0.581,0.0,0.0
ENSP00000485133,1.86,1.455,1.662,5.0,2.233,0.813,1.4409999999999998,1.4040000000000001,4.673,1.641,0.843
ENSP00000485227,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000485257,2.471,0.0,0.0,0.32799999999999996,0.188,0.0,0.0,0.0,0.312,0.0,0.0
ENSP00000485271,0.42200000000000004,0.375,0.0,0.877,0.281,0.188,0.281,0.0,1.5,0.0,0.0
ENSP00000485328,1.031,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.375,0.0,0.0
